pool.channel.name.0001: "Krijsende Guerilla"
pool.channel.name.0601: "Oer-Vondst"
pool.channel.name.0602: "Hemels Grillige"
pool.channel.name.0603: "Roestige Verrukking"
pool.channel.name.0604: "Bevroren Duitser"
pool.channel.name.0605: "Gloeiende Pels"
pool.channel.name.0606: "Dodelijke Cel"
pool.channel.name.0607: "Helse Geest"
pool.channel.name.0608: "Gezegende Gemeente"
pool.channel.name.0609: "Brandend Overschot"
pool.channel.name.0610: "Bevroren Evaluatie"
pool.channel.name.0611: "Fluisterende Grond"
pool.channel.name.0612: "Vervloekte Volière"
pool.channel.name.0613: "Verboden Flanel"
pool.channel.name.0614: "Verloren Gal"
pool.channel.name.0615: "Etherische Guirlande"
pool.channel.name.0616: "Brandende Franchise"
pool.channel.name.0617: "Brandend Forum"
pool.channel.name.0618: "Hels Fries"
pool.channel.name.0619: "Verloren Uitlaat"
pool.channel.name.0620: "Etherische Kaap"
pool.channel.name.0621: "Oude Oosten"
pool.channel.name.0622: "Nieuwe Schuld"
pool.channel.name.0623: "Gezegende Schenking"
pool.channel.name.0624: "Stille Opgraving"
pool.channel.name.0625: "Verboden Boer"
pool.channel.name.0626: "Verboden Groei"
pool.channel.name.0627: "Eeuwenoude Spuit"
pool.channel.name.0628: "Stralende Heerschappij"
pool.channel.name.0629: "Hemels Blussen"
pool.channel.name.0630: "Afgrondelijke Schatting"
pool.channel.name.0631: "Jonge Stof"
pool.channel.name.0632: "Vervloekte Dichotomie"
pool.channel.name.0633: "Roestig Feestmaal"
pool.channel.name.0634: "Dodelijke Roem"
pool.channel.name.0635: "Fluisterende Verf"
pool.channel.name.0636: "Oer-Vinger"
pool.channel.name.0637: "Koude Liefde"
pool.channel.name.0638: "Vergeten Hol"
pool.channel.name.0639: "Roestige Gloed"
pool.channel.name.0640: "Vergeten Gezicht"
pool.channel.name.0641: "Heilige Ellips"
pool.channel.name.0642: "Hemelse Pronk"
pool.channel.name.0643: "Zilveren Uitrusting"
pool.channel.name.0644: "Vergeten Opening"
pool.channel.name.0645: "Verloren Hamertje"
pool.channel.name.0646: "Wilde Barsheid"
pool.channel.name.0647: "Goddelijke Oven"
pool.channel.name.0648: "Gloeiende Droogte"
pool.channel.name.0649: "IJzeren Meter"
pool.channel.name.0650: "Brandende Vrijheid"
pool.channel.name.0651: "Oer-Apporteer"
pool.channel.name.0652: "Gloeiende Prestatie"
pool.channel.name.0653: "Vervloekte Envelop"
pool.channel.name.0654: "Bevroren Altaar"
pool.channel.name.0655: "Hemels Wambuis"
pool.channel.name.0656: "Gloeiende Arend"
pool.channel.name.0657: "Mystiek Gevogelte"
pool.channel.name.0658: "Fluisterende Den"
pool.channel.name.0659: "Afgrondelijke Afwijking"
pool.channel.name.0660: "Nieuw Exon"
pool.channel.name.0661: "Heilig Bestand"
pool.channel.name.0662: "Gezegende Verhoging"
pool.channel.name.0663: "Fataal Edelmoedig"
pool.channel.name.0664: "Stille Vis"
pool.channel.name.0665: "Helse Eon"
pool.channel.name.0666: "Leegte Catacombe"
pool.channel.name.0667: "Verborgen Conclaaf"
pool.channel.name.0668: "Oude Begrafenis"
pool.channel.name.0669: "Gezegende Takkenbos"
pool.channel.name.0670: "Gloeiende Uitgestrektheid"
pool.channel.name.0671: "Goddelijk Uitstapje"
pool.channel.name.0672: "Gloeiende Grill"
pool.channel.name.0673: "Krijsende Kousenband"
pool.channel.name.0674: "Stalen Graf"
pool.channel.name.0675: "Koude Geseling"
pool.channel.name.0676: "Schaduw Graaf"
pool.channel.name.0677: "Verborgen Bevestiging"
pool.channel.name.0678: "Wilde Schrik"
pool.channel.name.0679: "Fluisterend Geschenk"
pool.channel.name.0680: "Fatale Exclusiviteit"
pool.channel.name.0681: "Vervloekte Poort"
pool.channel.name.0682: "Jonge Fetisj"
pool.channel.name.0683: "Leegte Spiermaag"
pool.channel.name.0684: "Fluisterend Vuil"
pool.channel.name.0685: "Gezegend Extra"
pool.channel.name.0686: "Bevroren Elektronisch"
pool.channel.name.0687: "Dodelijke Gevel"
pool.channel.name.0688: "Stralend Kristal"
pool.channel.name.0689: "Hemelse Cataract"
pool.channel.name.0690: "Brandende Flirt"
pool.channel.name.0691: "Duister Gevoel"
pool.channel.name.0692: "Wilde Voorvader"
pool.channel.name.0693: "Gouden Kathedraal"
pool.channel.name.0694: "Heilige Drank"
pool.channel.name.0695: "Afgrondelijk Elektrisch"
pool.channel.name.0696: "Bevroren Vlekje"
pool.channel.name.0697: "Nieuwe Oudste"
pool.channel.name.0698: "Duister Vilt"
pool.channel.name.0699: "Zilveren Kreun"
pool.channel.name.0700: "Gezegend Gebrek"
pool.channel.name.0701: "Gouden Ooghaar"
pool.channel.name.0702: "Helse Overstroming"
pool.channel.name.0703: "Stille Breuk"
pool.channel.name.0704: "Fatale Deelgemeente"
pool.channel.name.0705: "Oude Volk"
pool.channel.name.0706: "Roestig Verdriet"
pool.channel.name.0707: "Fluisterende Hoek"
pool.channel.name.0708: "Vervloekt Einde"
pool.channel.name.0709: "Schaduw Fundering"
pool.channel.name.0710: "Fluisterend Effect"
pool.channel.name.0711: "Bevroren Ethiek"
pool.channel.name.0712: "Stille Favoriet"
pool.channel.name.0713: "Heilig Borduurwerk"
pool.channel.name.0714: "Zilveren Fusie"
pool.channel.name.0715: "Jonge Bayou"
pool.channel.name.0716: "Krijsende Fantasie"
pool.channel.name.0717: "Fatale Kubus"
pool.channel.name.0718: "Helse Stip"
pool.channel.name.0719: "Duistere Dageraad"
pool.channel.name.0720: "Etherische Leegte"
pool.channel.name.0721: "Brandend Capitool"
pool.channel.name.0722: "Helse Blijheid"
pool.channel.name.0723: "Bevroren Fregat"
pool.channel.name.0724: "Zilveren Exegese"
pool.channel.name.0725: "Bevroren Vijand"
pool.channel.name.0726: "Stralend Eurazië"
pool.channel.name.0727: "Zilveren Drift"
pool.channel.name.0728: "Nieuwe Schittering"
pool.channel.name.0729: "Zilveren Voet"
pool.channel.name.0730: "Hemelse Kracht"
pool.channel.name.0731: "Fatale Hebzucht"
pool.channel.name.0732: "Heilige Kabouter"
pool.channel.name.0733: "Etherische Veertig"
pool.channel.name.0734: "Wilde Dijkweg"
pool.channel.name.0735: "Dodelijke Diorama"
pool.channel.name.0736: "Smaragden Schot"
pool.channel.name.0737: "Nieuw Galant"
pool.channel.name.0738: "Eeuwenoud Meubilair"
pool.channel.name.0739: "Stille Figuur"
pool.channel.name.0740: "Schaduw Inzetstuk"
pool.channel.name.0741: "Oude Voeten"
pool.channel.name.0742: "Oer-Kwaad"
pool.channel.name.0743: "Krijsende Vervreemding"
pool.channel.name.0744: "Bevroren Ondergang"
pool.channel.name.0745: "Schaduw Evenaar"
pool.channel.name.0746: "Smaragden Opsmuk"
pool.channel.name.0747: "Fluisterende Zigeuner"
pool.channel.name.0748: "Krijsende Globe"
pool.channel.name.0749: "Stalen Aanmoediging"
pool.channel.name.0750: "IJzeren Vlas"
pool.channel.name.0751: "Bevroren Frame"
pool.channel.name.0752: "Fatale Vijf"
pool.channel.name.0753: "Zilveren Hoon"
pool.channel.name.0754: "Oer-Amaril"
pool.channel.name.0755: "Duister Karkas"
pool.channel.name.0756: "Heilig Kampement"
pool.channel.name.0757: "IJzeren Wilde Woestheid"
pool.channel.name.0758: "Fatale Waterspuwer"
pool.channel.name.0759: "Krijsend Tijdperk"
pool.channel.name.0760: "Bevroren Somberheid"
pool.channel.name.0761: "Bezoedeld Epos"
pool.channel.name.0762: "Heilige Toegangspoort"
pool.channel.name.0763: "Stalen Fouillering"
pool.channel.name.0764: "Bezoedelde Flits"
pool.channel.name.0765: "Oude Vijg"
pool.channel.name.0766: "Stalen Bewaker"
pool.channel.name.0767: "Fatale Vijandschap"
pool.channel.name.0768: "Verborgen Voedsel"
pool.channel.name.0769: "Eeuwenoude Galei"
pool.channel.name.0770: "Hemels Geslacht"
pool.channel.name.0771: "Gezegende Uitbundigheid"
pool.channel.name.0772: "Heilige Ets"
pool.channel.name.0773: "Bevroren Leivorm"
pool.channel.name.0774: "Etherische Deur"
pool.channel.name.0775: "Verborgen Kegel"
pool.channel.name.0776: "Verboden Dankbaarheid"
pool.channel.name.0777: "Gloeiend Verguldsel"
pool.channel.name.0778: "Gloeiend Zwart Gat"
pool.channel.name.0779: "Vervloekte Ingang"
pool.channel.name.0780: "Nieuwe Reus"
pool.channel.name.0781: "IJzeren Gember"
pool.channel.name.0782: "Oer-Toekomst"
pool.channel.name.0783: "Gezegende Afgrond"
pool.channel.name.0784: "Afgrondelijke Zachtmoedigheid"
pool.channel.name.0785: "IJzeren Druppel"
pool.channel.name.0786: "Vergeten Gen"
pool.channel.name.0787: "Roestige Blik"
pool.channel.name.0788: "Bezoedelde Ruil"
pool.channel.name.0789: "Nieuwe Frons"
pool.channel.name.0790: "Zilveren Lont"
pool.channel.name.0791: "Vervloekt Endocrien"
pool.channel.name.0792: "Vergeten Vaandrig"
pool.channel.name.0793: "Schaduw Voorkoming"
pool.channel.name.0794: "Hemelse Europeaan"
pool.channel.name.0795: "Vervloekte Jaap"
pool.channel.name.0796: "Etherisch Goud"
pool.channel.name.0797: "Brandende Ontmoeting"
pool.channel.name.0798: "Leegte Melkweg"
pool.channel.name.0799: "Oud Rijk"
pool.channel.name.0800: "Heilige Fijnproever"
pool.channel.name.0801: "Bevroren Kamer"
pool.channel.name.0802: "Stille Nadruk"
pool.channel.name.0803: "Fluisterende Somberheid"
pool.channel.name.0804: "Vervloekte Enclave"
pool.channel.name.0805: "Koude Cluster"
pool.channel.name.0806: "Stalen Arsenaal"
pool.channel.name.0807: "Koude Joviaalheid"
pool.channel.name.0808: "Afgrondelijk Buskruit"
pool.channel.name.0809: "Eeuwenoude Krater"
pool.channel.name.0810: "Gouden Rots"
pool.channel.name.0811: "Verboden Wrijving"
pool.channel.name.0812: "Smaragden Vrucht"
pool.channel.name.0813: "Verboden Klooster"
pool.channel.name.0814: "IJzeren Controle"
pool.channel.name.0815: "Stalen Gin"
pool.channel.name.0816: "Vervloekt Voorwaarts"
pool.channel.name.0817: "Jonge Vervulling"
pool.channel.name.0818: "Fluisterende Graaf"
pool.channel.name.0819: "Brandende Verzending"
pool.channel.name.0820: "Leegte Voorhoofd"
pool.channel.name.0821: "Mystieke Furie"
pool.channel.name.0822: "Hemelse Meeuw"
pool.channel.name.0823: "Verloren Uitrusting"
pool.channel.name.0824: "Helse Colonnade"
pool.channel.name.0825: "Bezoedelde Gordel"
pool.channel.name.0826: "Mystieke Plunje"
pool.channel.name.0827: "Krijsende Kieuw"
pool.channel.name.0828: "Gezegende Griffioen"
pool.channel.name.0829: "Stille Verval"
pool.channel.name.0830: "Helse Darteling"
pool.channel.name.0831: "Brandende Boog"
pool.channel.name.0832: "Vervloekte Sloot"
pool.channel.name.0833: "Wild Verblijf"
pool.channel.name.0834: "Brandende Gelijkheid"
pool.channel.name.0835: "Bezoedeld Voort"
pool.channel.name.0836: "Oude Gas"
pool.channel.name.0837: "Hemels Grafschrift"
pool.channel.name.0838: "Verborgen Dogma"
pool.channel.name.0839: "Krijsend Festival"
pool.channel.name.0840: "Krijsend Kransje"
pool.channel.name.0841: "Zilveren Grootvader"
pool.channel.name.0842: "IJzeren Vijftien"
pool.channel.name.0843: "Hemels Veen"
pool.channel.name.0844: "Stalen Endemie"
pool.channel.name.0845: "Etherische Getuige"
pool.channel.name.0846: "Verborgen Bende"
pool.channel.name.0847: "Eeuwenoude Functie"
pool.channel.name.0848: "Zilveren Wacht"
pool.channel.name.0849: "Brandende Terugtrekking"
pool.channel.name.0850: "Bevroren Toelage"
pool.channel.name.0851: "Heilige Schemering"
pool.channel.name.0852: "Verboden Flair"
pool.channel.name.0853: "Nieuw Hek"
pool.channel.name.0854: "Gezegende Uitputting"
pool.channel.name.0855: "Afgrondelijke Uithouding"
pool.channel.name.0856: "Zilveren Complex"
pool.channel.name.0857: "Bezoedelde Glans"
pool.channel.name.0858: "Afgrondelijke Avondstond"
pool.channel.name.0859: "Schaduw Vergroting"
pool.channel.name.0860: "Oude Bloei"
pool.channel.name.0861: "Dodelijke Duivel"
pool.channel.name.0862: "Smaragden Gletsjerspleet"
pool.channel.name.0863: "Gloeiende Vesting"
pool.channel.name.0864: "Heilige Fractie"
pool.channel.name.0865: "Roestige Losbandigheid"
pool.channel.name.0866: "Verloren Rooster"
pool.channel.name.0867: "Verboden Hoon"
pool.channel.name.0868: "Fluisterende Guillotine"
pool.channel.name.0869: "Vergeten Graad"
pool.channel.name.0870: "Verboden Kloostergang"
pool.channel.name.0871: "Fatale Kade"
pool.channel.name.0872: "Jonge Element"
pool.channel.name.0873: "Heilige Wankelheid"
pool.channel.name.0874: "Fatale Fout"
pool.channel.name.0875: "Krijsende Schuur"
pool.channel.name.0876: "Smaragden Vijfde"
pool.channel.name.0877: "Duistere Groep"
pool.channel.name.0878: "Etherische Veertien"
pool.channel.name.0879: "Wilde Uitwissing"
pool.channel.name.0880: "Gouden Bokaal"
pool.channel.name.0881: "Heilige Grande"
pool.channel.name.0882: "Verborgen Brandstof"
pool.channel.name.0883: "Verloren Schijf"
pool.channel.name.0884: "Mystieke Afvoer"
pool.channel.name.0885: "Bezoedelde Vrolijkheid"
pool.channel.name.0886: "Zilveren Vierde"
pool.channel.name.0887: "Oer-Vorst"
pool.channel.name.0888: "Zilveren Loopbrug"
pool.channel.name.0889: "Jonge Uitwerking"
pool.channel.name.0890: "Duistere Diepten"
pool.channel.name.0891: "Smaragden Gladheid"
pool.channel.name.0892: "Jonge Grind"
pool.channel.name.0893: "Dodelijke Voetpad"
pool.channel.name.0894: "Vervloekte Financiën"
pool.channel.name.0895: "Vervloekte Smaak"
pool.channel.name.0896: "Heilige Klier"
pool.channel.name.0897: "Stralende Jus"
pool.channel.name.0898: "Oer-Omgeving"
pool.channel.name.0899: "Roestige Archieven"
pool.channel.name.0900: "IJzeren Schatting"
pool.channel.name.0901: "Gezegende Pap"
pool.channel.name.0902: "Nieuwe Pluis"
pool.channel.name.0903: "Bezoedeld Gelijkzijdige"
pool.channel.name.0904: "Bevroren Belemmering"
pool.channel.name.0905: "Verboden Extrapolatie"
pool.channel.name.0906: "Gloeiend Escapisme"
pool.channel.name.0907: "Gouden Raad"
pool.channel.name.0908: "Mystiek Decennium"
pool.channel.name.0909: "Heilig Extreme"
pool.channel.name.0910: "Bevroren Voormiddag"
pool.channel.name.0911: "Krijsende Galg"
pool.channel.name.0912: "Stalen Glamour"
pool.channel.name.0913: "Bevroren Erosie"
pool.channel.name.0914: "Wilde Worsteling"
pool.channel.name.0915: "Wilde Boze Blik"
pool.channel.name.0916: "Oer-Gilde"
pool.channel.name.0917: "Verloren Bluf"
pool.channel.name.0918: "Leegte Fascinatie"
pool.channel.name.0919: "Oer-Onderneming"
pool.channel.name.0920: "Wilde Kolos"
pool.channel.name.0921: "Zilveren Cycloon"
pool.channel.name.0922: "IJzeren Valsheid"
pool.channel.name.0923: "Schaduw Grog"
pool.channel.name.0924: "Gloeiende Trommel"
pool.channel.name.0925: "Stralend Hol"
pool.channel.name.0926: "Koude Aarde"
pool.channel.name.0927: "Verborgen Dwaasheid"
pool.channel.name.0928: "Heilige Filter"
pool.channel.name.0929: "Mystieke Lading"
pool.channel.name.0930: "Gloeiende Gekte"
pool.channel.name.0931: "Gezegende Punt"
pool.channel.name.0932: "Helse Handschoen"
pool.channel.name.0933: "Smaragden Glas"
pool.channel.name.0934: "Jonge Steunbeer"
pool.channel.name.0935: "Eeuwenoude Boerderij"
pool.channel.name.0936: "Gezegende Godheid"
pool.channel.name.0937: "Stille Fabriek"
pool.channel.name.0938: "Goddelijke Schittering"
pool.channel.name.0939: "Krijsend Evangelie"
pool.channel.name.0940: "Hemels Eindige"
pool.channel.name.0941: "Heilige Elite"
pool.channel.name.0942: "Gezegende Factie"
pool.channel.name.0943: "Oer-Exemplaar"
pool.channel.name.0944: "Eeuwenoude Verlegenheid"
pool.channel.name.0945: "Schaduw Familie"
pool.channel.name.0946: "Duister Gladiator"
pool.channel.name.0947: "Stralend Doel"
pool.channel.name.0948: "Koude Lies"
pool.channel.name.0949: "Heilig Embleem"
pool.channel.name.0950: "Koude Grammatica"
pool.channel.name.0951: "Smaragden Kiem"
pool.channel.name.0952: "Vergeten Gezicht"
pool.channel.name.0953: "Gouden Empathie"
pool.channel.name.0954: "Dodelijke Exodus"
pool.channel.name.0955: "Dodelijke Wieg"
pool.channel.name.0956: "Fluisterende Drukte"
pool.channel.name.0957: "Bevroren Godvruchtige"
pool.channel.name.0958: "Leegte Atol"
pool.channel.name.0959: "Stralende Foerage"
pool.channel.name.0960: "Verboden Gevecht"
pool.channel.name.0961: "Verloren Spinsel"
pool.channel.name.0962: "Helse Contour"
pool.channel.name.0963: "Fluisterende Klap"
pool.channel.name.0964: "Goddelijk Belfort"
pool.channel.name.0965: "Gloeiende Dracht"
pool.channel.name.0966: "Stalen Epiloog"
pool.channel.name.0967: "Krijsende Glimp"
pool.channel.name.0968: "Wilde Voorhoede"
pool.channel.name.0969: "Helse Klucht"
pool.channel.name.0970: "Leegte Pijlenmaker"
pool.channel.name.0971: "Gezegende Eliminatie"
pool.channel.name.0972: "Oude Vacht"
pool.channel.name.0973: "Vervloekte Afgunst"
pool.channel.name.0974: "Verboden Ingewand"
pool.channel.name.0975: "Hemelse Omheining"
pool.channel.name.0976: "Fatale Strijd"
pool.channel.name.0977: "Bevroren Kudde"
pool.channel.name.0978: "Hemelse Winst"
pool.channel.name.0979: "Hemels Vruchteloze"
pool.channel.name.0980: "Verboden Duin"
pool.channel.name.0981: "Afgrondelijke Verwoesting"
pool.channel.name.0982: "Vervloekte Vreugde"
pool.channel.name.0983: "Etherisch Gymnasium"
pool.channel.name.0984: "Bezoedelde Expositie"
pool.channel.name.0985: "Gloeiende Uitvoerder"
pool.channel.name.0986: "Heilig Fragment"
pool.channel.name.0987: "Helse Gratis"
pool.channel.name.0988: "Roestige Gimp"
pool.channel.name.0989: "Afgrondelijke Vervalsing"
pool.channel.name.0990: "Wild Kanaal"
pool.channel.name.0991: "Eeuwenoude Schimmels"
pool.channel.name.0992: "Stralende Woestheid"
pool.channel.name.0993: "Roestig Prachtige"
pool.channel.name.0994: "Helse Mansarde"
pool.channel.name.0995: "Koude Controlepost"
pool.channel.name.0996: "Nieuw Bewijs"
pool.channel.name.0997: "Stille Pit"
pool.channel.name.0998: "Dodelijke Duizeligheid"
pool.channel.name.0999: "Verloren Overschrijding"
pool.channel.name.1000: "Brandende Valstrik"
