pool.channel.name.0001: "Wrzeszczący Partyzant"
pool.channel.name.0588: "Święty Rodzaj"
pool.channel.name.0589: "Przeklęta Energia"
pool.channel.name.0590: "Niebiański Strach"
pool.channel.name.0591: "Zapomniany Entuzjazm"
pool.channel.name.0592: "Przeklęta Tarcza"
pool.channel.name.0593: "Eteryczny Napad"
pool.channel.name.0594: "Mistyczny Gadżet"
pool.channel.name.0595: "Niebiańska Dwuznaczność"
pool.channel.name.0596: "Pierwotne Zniknięcie"
pool.channel.name.0597: "Święta Fałda"
pool.channel.name.0598: "Mroczna Gęstość"
pool.channel.name.0599: "Starszy Poprzednik"
pool.channel.name.0600: "Szepcząca Larwa"
pool.channel.name.0601: "Pierwotne Znalezienie"
pool.channel.name.0602: "Niebiańska Zmienność"
pool.channel.name.0603: "Zardzewiała Euforia"
pool.channel.name.0604: "Lodowy Niemiec"
pool.channel.name.0605: "Gorące Futerko"
pool.channel.name.0606: "Zabójcza Cela"
pool.channel.name.0607: "Piekielny Duch"
pool.channel.name.0608: "Błogosławione Zgromadzenie"
pool.channel.name.0609: "Płonący Nadmiar"
pool.channel.name.0610: "Lodowa Ocena"
pool.channel.name.0611: "Szepcząca Ziemia"
pool.channel.name.0612: "Przeklęta Woliera"
pool.channel.name.0613: "Zakazana Flanela"
pool.channel.name.0614: "Zagubiona Gorycz"
pool.channel.name.0615: "Eteryczny Feston"
pool.channel.name.0616: "Płonąca Franczyza"
pool.channel.name.0617: "Płonące Forum"
pool.channel.name.0618: "Piekielny Fryz"
pool.channel.name.0619: "Zagubione Wyczerpanie"
pool.channel.name.0620: "Eteryczny Przylądek"
pool.channel.name.0621: "Starszy Wschód"
pool.channel.name.0622: "Nowa Wina"
pool.channel.name.0623: "Błogosławione Uposażenie"
pool.channel.name.0624: "Cichy Wykop"
pool.channel.name.0625: "Zakazany Rolnik"
pool.channel.name.0626: "Zakazany Wzrost"
pool.channel.name.0627: "Pradawny Wytrysk"
pool.channel.name.0628: "Jasne Dominium"
pool.channel.name.0629: "Niebiańskie Zgaszenie"
pool.channel.name.0630: "Otchłanny Szacunek"
pool.channel.name.0631: "Młoda Tkanina"
pool.channel.name.0632: "Przeklęta Dychotomia"
pool.channel.name.0633: "Zardzewiała Uczta"
pool.channel.name.0634: "Zabójcza Sława"
pool.channel.name.0635: "Szepczący Barwnik"
pool.channel.name.0636: "Pierwotny Palec"
pool.channel.name.0637: "Zimne Tło"
pool.channel.name.0638: "Zapomniane Legowisko"
pool.channel.name.0639: "Zardzewiały Blask"
pool.channel.name.0640: "Zapomniana Twarz"
pool.channel.name.0641: "Święta Elipsa"
pool.channel.name.0642: "Niebiański Popis"
pool.channel.name.0643: "Srebrny Sprzęt"
pool.channel.name.0644: "Zapomniana Przysłona"
pool.channel.name.0645: "Zagubiony Młotek"
pool.channel.name.0646: "Dziki Gbur"
pool.channel.name.0647: "Boski Piec"
pool.channel.name.0648: "Gorąca Susza"
pool.channel.name.0649: "Żelazny Miernik"
pool.channel.name.0650: "Płonąca Wolność"
pool.channel.name.0651: "Pierwotny Aport"
pool.channel.name.0652: "Gorący Wyczyn"
pool.channel.name.0653: "Przeklęta Osłona"
pool.channel.name.0654: "Lodowy Ołtarz"
pool.channel.name.0655: "Niebiański Dublet"
pool.channel.name.0656: "Gorący Orzeł"
pool.channel.name.0657: "Mistyczne Ptactwo"
pool.channel.name.0658: "Szepcząca Jodła"
pool.channel.name.0659: "Otchłanna Rozbieżność"
pool.channel.name.0660: "Nowy Ekson"
pool.channel.name.0661: "Święty Pilnik"
pool.channel.name.0662: "Błogosławione Wzniesienie"
pool.channel.name.0663: "Śmiertelna Hojność"
pool.channel.name.0664: "Cicha Ryba"
pool.channel.name.0665: "Piekielny Eon"
pool.channel.name.0666: "Próżniowa Katakumba"
pool.channel.name.0667: "Ukryte Konklawe"
pool.channel.name.0668: "Starszy Pogrzeb"
pool.channel.name.0669: "Błogosławiona Wiązka"
pool.channel.name.0670: "Gorąca Przestrzeń"
pool.channel.name.0671: "Boska Wycieczka"
pool.channel.name.0672: "Gorący Gryl"
pool.channel.name.0673: "Wrzeszcząca Podwiązka"
pool.channel.name.0674: "Stalowy Grób"
pool.channel.name.0675: "Zimna Chłosta"
pool.channel.name.0676: "Cieniste Zgłębianie"
pool.channel.name.0677: "Ukryte Zapięcie"
pool.channel.name.0678: "Dziki Strach"
pool.channel.name.0679: "Szepczący Dar"
pool.channel.name.0680: "Śmiertelna Wyłączność"
pool.channel.name.0681: "Przeklęta Brama"
pool.channel.name.0682: "Młody Fetysz"
pool.channel.name.0683: "Próżniowy Mielec"
pool.channel.name.0684: "Szepczący Brud"
pool.channel.name.0685: "Błogosławiony Dodatek"
pool.channel.name.0686: "Lodowa Elektronika"
pool.channel.name.0687: "Zabójcza Fasada"
pool.channel.name.0688: "Jasny Kryształ"
pool.channel.name.0689: "Niebiańska Katarakta"
pool.channel.name.0690: "Płonący Flirt"
pool.channel.name.0691: "Mroczne Uczucie"
pool.channel.name.0692: "Dziki Przodek"
pool.channel.name.0693: "Złota Katedra"
pool.channel.name.0694: "Święty Trunek"
pool.channel.name.0695: "Otchłanna Elektryka"
pool.channel.name.0696: "Lodowa Plamka"
pool.channel.name.0697: "Nowa Starszyzna"
pool.channel.name.0698: "Mroczny Filc"
pool.channel.name.0699: "Srebrny Jęk"
pool.channel.name.0700: "Błogosławiona Wada"
pool.channel.name.0701: "Złota Rzęsa"
pool.channel.name.0702: "Piekielna Powódź"
pool.channel.name.0703: "Ciche Złamanie"
pool.channel.name.0704: "Śmiertelna Gmina"
pool.channel.name.0705: "Starszy Lud"
pool.channel.name.0706: "Zardzewiały Żal"
pool.channel.name.0707: "Szepczący Róg"
pool.channel.name.0708: "Przeklęty Koniec"
pool.channel.name.0709: "Cienisty Fundament"
pool.channel.name.0710: "Szepczący Efekt"
pool.channel.name.0711: "Lodowa Etyka"
pool.channel.name.0712: "Cichy Ulubieniec"
pool.channel.name.0713: "Holy Haft"
pool.channel.name.0714: "Srebrna Fuzja"
pool.channel.name.0715: "Młode Rozlewisko"
pool.channel.name.0716: "Wrzeszcząca Fantastyka"
pool.channel.name.0717: "Śmiertelny Sześcian"
pool.channel.name.0718: "Piekielna Kropka"
pool.channel.name.0719: "Mroczny Świt"
pool.channel.name.0720: "Eteryczny Brak"
pool.channel.name.0721: "Płonący Kapitol"
pool.channel.name.0722: "Piekielna Radość"
pool.channel.name.0723: "Lodowa Fregata"
pool.channel.name.0724: "Srebrna Egzegeza"
pool.channel.name.0725: "Lodowy Wróg"
pool.channel.name.0726: "Jasna Eurazja"
pool.channel.name.0727: "Srebrny Dryf"
pool.channel.name.0728: "Nowy Brokat"
pool.channel.name.0729: "Srebrna Stopa"
pool.channel.name.0730: "Niebiańska Siła"
pool.channel.name.0731: "Śmiertelna Chciwość"
pool.channel.name.0732: "Holy Gnom"
pool.channel.name.0733: "Eteryczna Czterdziestka"
pool.channel.name.0734: "Dzika Grobla"
pool.channel.name.0735: "Zabójcza Diorama"
pool.channel.name.0736: "Szmaragdowa Grodzia"
pool.channel.name.0737: "Nowy Zalotnik"
pool.channel.name.0738: "Pradawny Mebel"
pool.channel.name.0739: "Cicha Figura"
pool.channel.name.0740: "Cienisty Klin"
pool.channel.name.0741: "Starsza Stopy"
pool.channel.name.0742: "Pierwotne Zło"
pool.channel.name.0743: "Wrzeszczący Rozbrat"
pool.channel.name.0744: "Lodowy Upadek"
pool.channel.name.0745: "Cienisty Równik"
pool.channel.name.0746: "Szmaragdowe Strojenie"
pool.channel.name.0747: "Szepczący Cygan"
pool.channel.name.0748: "Wrzeszczący Glob"
pool.channel.name.0749: "Stalowa Zachęta"
pool.channel.name.0750: "Żelazny Len"
pool.channel.name.0751: "Lodowa Rama"
pool.channel.name.0752: "Śmiertelna Piątka"
pool.channel.name.0753: "Srebrna Drwina"
pool.channel.name.0754: "Pierwotny Szmergiel"
pool.channel.name.0755: "Mroczna Padlina"
pool.channel.name.0756: "Holy Obozowisko"
pool.channel.name.0757: "Żelazna Srogość"
pool.channel.name.0758: "Śmiertelny Gargulec"
pool.channel.name.0759: "Wrzeszcząca Epoka"
pool.channel.name.0760: "Lodowy Mrok"
pool.channel.name.0761: "Zbezczeszczony Epos"
pool.channel.name.0762: "Holy Brama"
pool.channel.name.0763: "Stalowa Rewizja"
pool.channel.name.0764: "Zbezczeszczony Błysk"
pool.channel.name.0765: "Starsza Figa"
pool.channel.name.0766: "Stalowy Strażnik"
pool.channel.name.0767: "Śmiertelna Wrogość"
pool.channel.name.0768: "Ukryty Pokarm"
pool.channel.name.0769: "Pradawna Galera"
pool.channel.name.0770: "Niebiańska Płeć"
pool.channel.name.0771: "Błogosławiona Wylewność"
pool.channel.name.0772: "Holy Wytrawianie"
pool.channel.name.0773: "Lodowy Szpaler"
pool.channel.name.0774: "Eteryczna Drzwi"
pool.channel.name.0775: "Ukryty Stożek"
pool.channel.name.0776: "Zakazana Wdzięczność"
pool.channel.name.0777: "Gorąca Pozłota"
pool.channel.name.0778: "Gorąca Czarna dziura"
pool.channel.name.0779: "Przeklęty Wstęp"
pool.channel.name.0780: "Nowy Olbrzym"
pool.channel.name.0781: "Żelazny Imbir"
pool.channel.name.0782: "Pierwotna Przyszłość"
pool.channel.name.0783: "Błogosławiona Otchłań"
pool.channel.name.0784: "Otchłanna Łagodność"
pool.channel.name.0785: "Żelazna Kropla"
pool.channel.name.0786: "Zapomniany Gen"
pool.channel.name.0787: "Zardzewiałe Spojrzenie"
pool.channel.name.0788: "Zbezczeszczona Wymiana"
pool.channel.name.0789: "Nowy Grymas"
pool.channel.name.0790: "Srebrny Zapłon"
pool.channel.name.0791: "Przeklęta Dokrewność"
pool.channel.name.0792: "Zapomniany Chorąży"
pool.channel.name.0793: "Cieniste Wyprzedzenie"
pool.channel.name.0794: "Niebiański Europejczyk"
pool.channel.name.0795: "Przeklęte Rozcięcie"
pool.channel.name.0796: "Eteryczne Złoto"
pool.channel.name.0797: "Płonące Spotkanie"
pool.channel.name.0798: "Próżniowa Galaktyka"
pool.channel.name.0799: "Starsze Imperium"
pool.channel.name.0800: "Holy Smakosz"
pool.channel.name.0801: "Lodowa Komnata"
pool.channel.name.0802: "Cichy Nacisk"
pool.channel.name.0803: "Szepcząca Posępność"
pool.channel.name.0804: "Przeklęta Enklawa"
pool.channel.name.0805: "Zimne Grona"
pool.channel.name.0806: "Stalowa Zbrojownia"
pool.channel.name.0807: "Zimna Genialność"
pool.channel.name.0808: "Otchłanny Proch"
pool.channel.name.0809: "Pradawny Krater"
pool.channel.name.0810: "Złota Turnia"
pool.channel.name.0811: "Zakazane Tarcie"
pool.channel.name.0812: "Szmaragdowy Owoc"
pool.channel.name.0813: "Zakazany Klasztor"
pool.channel.name.0814: "Żelazna Kontrola"
pool.channel.name.0815: "Stalowy Gin"
pool.channel.name.0816: "Przeklęty Napastnik"
pool.channel.name.0817: "Młode Spełnienie"
pool.channel.name.0818: "Szepczące Wykopaliska"
pool.channel.name.0819: "Płonąca Depesza"
pool.channel.name.0820: "Próżniowe Czoło"
pool.channel.name.0821: "Mistyczna Furia"
pool.channel.name.0822: "Niebiańska Mewa"
pool.channel.name.0823: "Zagubiona Zębatka"
pool.channel.name.0824: "Piekielna Kolumnada"
pool.channel.name.0825: "Zbezczeszczony Pas"
pool.channel.name.0826: "Mistyczny Łachy"
pool.channel.name.0827: "Wrzeszczące Skrzela"
pool.channel.name.0828: "Błogosławiony Gryf"
pool.channel.name.0829: "Cichy Rozkład"
pool.channel.name.0830: "Piekielna Igraszka"
pool.channel.name.0831: "Płonący Łuk"
pool.channel.name.0832: "Przeklęty Rów"
pool.channel.name.0833: "Dzikie Mieszkanie"
pool.channel.name.0834: "Płonąca Równość"
pool.channel.name.0835: "Zbezczeszczony Przód"
pool.channel.name.0836: "Starszy Gaz"
pool.channel.name.0837: "Niebiańskie Epitafium"
pool.channel.name.0838: "Ukryty Dogmat"
pool.channel.name.0839: "Wrzeszczący Festiwal"
pool.channel.name.0840: "Wrzeszcząca Koteria"
pool.channel.name.0841: "Srebrny Dziadek"
pool.channel.name.0842: "Żelazna Piętnastka"
pool.channel.name.0843: "Niebiańskie Trzęsawisko"
pool.channel.name.0844: "Stalowy Endemit"
pool.channel.name.0845: "Eteryczny Naoczny świadek"
pool.channel.name.0846: "Ukryty Gang"
pool.channel.name.0847: "Pradawna Funkcja"
pool.channel.name.0848: "Srebrna Gwardia"
pool.channel.name.0849: "Płonące Drgnięcie"
pool.channel.name.0850: "Lodowy Grant"
pool.channel.name.0851: "Święty Zmierzch"
pool.channel.name.0852: "Zakazane Wyczucie"
pool.channel.name.0853: "Nowe Ogrodzenie"
pool.channel.name.0854: "Błogosławione Wyczerpanie"
pool.channel.name.0855: "Otchłanne Wytrwanie"
pool.channel.name.0856: "Srebrny Kompleks"
pool.channel.name.0857: "Zbezczeszczony Połysk"
pool.channel.name.0858: "Otchłanny Zmrok"
pool.channel.name.0859: "Cieniste Powiększenie"
pool.channel.name.0860: "Starszy Rozkwit"
pool.channel.name.0861: "Zabójczy Diabeł"
pool.channel.name.0862: "Szmaragdowa Szczelina"
pool.channel.name.0863: "Gorąca Twierdza"
pool.channel.name.0864: "Holy Ułamek"
pool.channel.name.0865: "Zardzewiała Rozpusta"
pool.channel.name.0866: "Zagubiony Ruszt"
pool.channel.name.0867: "Zakazany Docinek"
pool.channel.name.0868: "Szepcząca Gilotyna"
pool.channel.name.0869: "Zapomniany Stopień"
pool.channel.name.0870: "Zakazany Krużganek"
pool.channel.name.0871: "Śmiertelny Nasyp"
pool.channel.name.0872: "Młody Element"
pool.channel.name.0873: "Święta Lichość"
pool.channel.name.0874: "Śmiertelny Faul"
pool.channel.name.0875: "Wrzeszczący Spichlerz"
pool.channel.name.0876: "Szmaragdowy Piąty"
pool.channel.name.0877: "Mroczna Grupa"
pool.channel.name.0878: "Eteryczna Czternastka"
pool.channel.name.0879: "Dzikie Wymazanie"
pool.channel.name.0880: "Złoty Kielich"
pool.channel.name.0881: "Holy Możnowładca"
pool.channel.name.0882: "Ukryte Paliwo"
pool.channel.name.0883: "Zagubiony Dysk"
pool.channel.name.0884: "Mistyczny Odpływ"
pool.channel.name.0885: "Zbezczeszczona Wesołość"
pool.channel.name.0886: "Srebrny Czwarty"
pool.channel.name.0887: "Pierwotny Szron"
pool.channel.name.0888: "Srebrne Przejście"
pool.channel.name.0889: "Młode Opracowanie"
pool.channel.name.0890: "Mroczna Głębiny"
pool.channel.name.0891: "Szmaragdowa Gładkość"
pool.channel.name.0892: "Młody Żwir"
pool.channel.name.0893: "Zabójcza Ścieżka"
pool.channel.name.0894: "Przeklęty Finanse"
pool.channel.name.0895: "Przeklęty Smak"
pool.channel.name.0896: "Święty Gruczoł"
pool.channel.name.0897: "Jasny Sos"
pool.channel.name.0898: "Pierwotne Środowisko"
pool.channel.name.0899: "Zardzewiałe Archiwum"
pool.channel.name.0900: "Żelazny Szacunek"
pool.channel.name.0901: "Błogosławiony Klej"
pool.channel.name.0902: "Nowy Puszek"
pool.channel.name.0903: "Zbezczeszczona Równoboczność"
pool.channel.name.0904: "Lodowe Obciążenie"
pool.channel.name.0905: "Zakazana Ekstrapolacja"
pool.channel.name.0906: "Gorący Eskapizm"
pool.channel.name.0907: "Złota Rada"
pool.channel.name.0908: "Mistyczna Dekada"
pool.channel.name.0909: "Holy Ekstremum"
pool.channel.name.0910: "Lodowe Przedpołudnie"
pool.channel.name.0911: "Wrzeszcząca Szubienica"
pool.channel.name.0912: "Stalowy Blask"
pool.channel.name.0913: "Lodowa Erozja"
pool.channel.name.0914: "Dzikie Zmaganie"
pool.channel.name.0915: "Dzikie Spojrzenie"
pool.channel.name.0916: "Pierwotna Gildia"
pool.channel.name.0917: "Zagubione Uwisko"
pool.channel.name.0918: "Próżniowa Fascynacja"
pool.channel.name.0919: "Pierwotne Przedsięwzięcie"
pool.channel.name.0920: "Dziki Kolos"
pool.channel.name.0921: "Srebrny Cyklon"
pool.channel.name.0922: "Żelazny Fałsz"
pool.channel.name.0923: "Cienisty Grog"
pool.channel.name.0924: "Gorący Bęben"
pool.channel.name.0925: "Jasna Nora"
pool.channel.name.0926: "Zimna Ziemia"
pool.channel.name.0927: "Ukryta Głupota"
pool.channel.name.0928: "Holy Filtr"
pool.channel.name.0929: "Mistyczny Ładunek"
pool.channel.name.0930: "Gorący Dom wariatów"
pool.channel.name.0931: "Błogosławiony Wierzchołek"
pool.channel.name.0932: "Piekielna Rękawica"
pool.channel.name.0933: "Szmaragdowe Szkło"
pool.channel.name.0934: "Młody Filar"
pool.channel.name.0935: "Pradawna Farma"
pool.channel.name.0936: "Błogosławione Bóstwo"
pool.channel.name.0937: "Cicha Fabryka"
pool.channel.name.0938: "Boski Błysk"
pool.channel.name.0939: "Wrzeszcząca Ewangelia"
pool.channel.name.0940: "Niebiańska Skończoność"
pool.channel.name.0941: "Święta Elita"
pool.channel.name.0942: "Błogosławiona Frakcja"
pool.channel.name.0943: "Pierwotny Wzór"
pool.channel.name.0944: "Pradawny Wstyd"
pool.channel.name.0945: "Cienista Rodzina"
pool.channel.name.0946: "Mroczny Gladiator"
pool.channel.name.0947: "Jasny Cel"
pool.channel.name.0948: "Zimna Pachwina"
pool.channel.name.0949: "Święte Godło"
pool.channel.name.0950: "Zimna Gramatyka"
pool.channel.name.0951: "Szmaragdowy Zalążek"
pool.channel.name.0952: "Zapomniany Wzrok"
pool.channel.name.0953: "Złota Empatia"
pool.channel.name.0954: "Zabójczy Exodus"
pool.channel.name.0955: "Zabójczy Żłób"
pool.channel.name.0956: "Szepcząca Awantura"
pool.channel.name.0957: "Lodowa Pobożność"
pool.channel.name.0958: "Próżniowy Atol"
pool.channel.name.0959: "Jasna Pasza"
pool.channel.name.0960: "Zakazana Walka"
pool.channel.name.0961: "Zagubione Urojeniem"
pool.channel.name.0962: "Piekielny Kontur"
pool.channel.name.0963: "Szepcząca Klapa"
pool.channel.name.0964: "Boska Dzwonnica"
pool.channel.name.0965: "Gorąca Ciąża"
pool.channel.name.0966: "Stalowy Epilog"
pool.channel.name.0967: "Wrzeszczący Blask"
pool.channel.name.0968: "Dzika Czołówka"
pool.channel.name.0969: "Piekielna Farsa"
pool.channel.name.0970: "Próżniowy Łuczarz"
pool.channel.name.0971: "Błogosławiona Eliminacja"
pool.channel.name.0972: "Starsze Runo"
pool.channel.name.0973: "Przeklęta Zazdrość"
pool.channel.name.0974: "Zakazane Jelito"
pool.channel.name.0975: "Niebiańska Zagroda"
pool.channel.name.0976: "Śmiertelna Walka"
pool.channel.name.0977: "Lodowe Stado"
pool.channel.name.0978: "Niebiański Zysk"
pool.channel.name.0979: "Niebiańska Marność"
pool.channel.name.0980: "Zakazana Wydma"
pool.channel.name.0981: "Otchłanna Dewastacja"
pool.channel.name.0982: "Przeklęta Radość"
pool.channel.name.0983: "Eteryczne Gimnazjum"
pool.channel.name.0984: "Zbezczeszczony Eksponat"
pool.channel.name.0985: "Gorący Wykonawca"
pool.channel.name.0986: "Holy Fragment"
pool.channel.name.0987: "Piekielne Darmo"
pool.channel.name.0988: "Zardzewiała Ułomność"
pool.channel.name.0989: "Otchłanny Falsyfikat"
pool.channel.name.0990: "Dziki Kanał"
pool.channel.name.0991: "Pradawny Grzyby"
pool.channel.name.0992: "Jasna Zaciętość"
pool.channel.name.0993: "Zardzewiały Przepych"
pool.channel.name.0994: "Piekielne Poddasze"
pool.channel.name.0995: "Zimny Punkt kontrolny"
pool.channel.name.0996: "Nowy Dowód"
pool.channel.name.0997: "Cichy Piasek"
pool.channel.name.0998: "Zabójczy Zawrót głowy"
pool.channel.name.0999: "Zagubione Przekroczenie"
pool.channel.name.1000: "Płonąca Pułapka"
