pool.channel.name.0001: "Guérilla Hurlante"
pool.channel.name.0624: "Excavation Silencieuse"
pool.channel.name.0625: "Fermier Interdit"
pool.channel.name.0626: "Croissance Interdite"
pool.channel.name.0627: "Jaillissement Antique"
pool.channel.name.0628: "Dominion Éclatant"
pool.channel.name.0629: "Extinction Céleste"
pool.channel.name.0630: "Estimation Abyssal"
pool.channel.name.0631: "Tissu Jeune"
pool.channel.name.0632: "Dichotomie Maudite"
pool.channel.name.0633: "Festin Rouillé"
pool.channel.name.0634: "Gloire Mortelle"
pool.channel.name.0635: "Teinture Murmurante"
pool.channel.name.0636: "Doigt Primordial"
pool.channel.name.0637: "Fond Glacial"
pool.channel.name.0638: "Repaire Oublié"
pool.channel.name.0639: "Lueur Rouillée"
pool.channel.name.0640: "Face Oubliée"
pool.channel.name.0641: "Ellipse Sacrée"
pool.channel.name.0642: "Ostentation Céleste"
pool.channel.name.0643: "Équipement d'Argent"
pool.channel.name.0644: "Ouverture Oubliée"
pool.channel.name.0645: "Marteau Perdu"
pool.channel.name.0646: "Rude Sauvage"
pool.channel.name.0647: "Fournaise Divine"
pool.channel.name.0648: "Sec Ardent"
pool.channel.name.0649: "Jauge de Fer"
pool.channel.name.0650: "Libre Brûlant"
pool.channel.name.0651: "Rapport Primordial"
pool.channel.name.0652: "Exploit Ardent"
pool.channel.name.0653: "Enveloppe Maudite"
pool.channel.name.0654: "Autel Gelé"
pool.channel.name.0655: "Doublet Céleste"
pool.channel.name.0656: "Aigle Ardent"
pool.channel.name.0657: "Volaille Mystique"
pool.channel.name.0658: "Sapin Murmurant"
pool.channel.name.0659: "Divergence Abyssal"
pool.channel.name.0660: "Exon Nouveau"
pool.channel.name.0661: "Fichier Sacré"
pool.channel.name.0662: "Élévation Bénie"
pool.channel.name.0663: "Généreux Létal"
pool.channel.name.0664: "Poisson Silencieux"
pool.channel.name.0665: "Éon Infernal"
pool.channel.name.0666: "Catacombe du Vide"
pool.channel.name.0667: "Conclave Caché"
pool.channel.name.0668: "Funérailles Ancien"
pool.channel.name.0669: "Fagot Béni"
pool.channel.name.0670: "Étendue Ardente"
pool.channel.name.0671: "Excursion Divine"
pool.channel.name.0672: "Grille Ardente"
pool.channel.name.0673: "Jarretière Hurlante"
pool.channel.name.0674: "Tombe d'Acier"
pool.channel.name.0675: "Flagellation Glaciale"
pool.channel.name.0676: "Fouille des Ombres"
pool.channel.name.0677: "Attache Cachée"
pool.channel.name.0678: "Effroi Sauvage"
pool.channel.name.0679: "Don Murmurant"
pool.channel.name.0680: "Exclusivité Létale"
pool.channel.name.0681: "Porte Maudite"
pool.channel.name.0682: "Fétiche Jeune"
pool.channel.name.0683: "Gésier du Vide"
pool.channel.name.0684: "Saleté Murmurante"
pool.channel.name.0685: "Extra Béni"
pool.channel.name.0686: "Électronique Gelée"
pool.channel.name.0687: "Façade Mortelle"
pool.channel.name.0688: "Cristal Éclatant"
pool.channel.name.0689: "Cataracte Céleste"
pool.channel.name.0690: "Flirt Brûlant"
pool.channel.name.0691: "Sentiment Sombre"
pool.channel.name.0692: "Aïeul Sauvage"
pool.channel.name.0693: "Cathédrale Dorée"
pool.channel.name.0694: "Boisson Sacrée"
pool.channel.name.0695: "Électrique Abyssal"
pool.channel.name.0696: "Tache Gelée"
pool.channel.name.0697: "Ancien Nouveau"
pool.channel.name.0698: "Feutre Sombre"
pool.channel.name.0699: "Gémissement d'Argent"
pool.channel.name.0700: "Défaut Béni"
pool.channel.name.0701: "Cil Doré"
pool.channel.name.0702: "Inondation Infernale"
pool.channel.name.0703: "Fracture Silencieuse"
pool.channel.name.0704: "Bourg Létal"
pool.channel.name.0705: "Peuple Ancien"
pool.channel.name.0706: "Chagrin Rouillé"
pool.channel.name.0707: "Coin Murmurant"
pool.channel.name.0708: "Fin Maudite"
pool.channel.name.0709: "Fondation des Ombres"
pool.channel.name.0710: "Effet Murmurant"
pool.channel.name.0711: "Éthique Gelée"
pool.channel.name.0712: "Favori Silencieux"
pool.channel.name.0713: "Broderie Holy"
pool.channel.name.0714: "Fusion d'Argent"
pool.channel.name.0715: "Bayou Jeune"
pool.channel.name.0716: "Fantaisie Hurlante"
pool.channel.name.0717: "Cube Létal"
pool.channel.name.0718: "Point Infernal"
pool.channel.name.0719: "Aube Sombre"
pool.channel.name.0720: "Dénué Éthéré"
pool.channel.name.0721: "Capitole Brûlant"
pool.channel.name.0722: "Joie Infernale"
pool.channel.name.0723: "Frégate Gelée"
pool.channel.name.0724: "Exégèse d'Argent"
pool.channel.name.0725: "Ennemi Gelé"
pool.channel.name.0726: "Eurasie Éclatante"
pool.channel.name.0727: "Dérive d'Argent"
pool.channel.name.0728: "Paillettes Nouveau"
pool.channel.name.0729: "Pied d'Argent"
pool.channel.name.0730: "Force Céleste"
pool.channel.name.0731: "Cupidité Létale"
pool.channel.name.0732: "Gnome Holy"
pool.channel.name.0733: "Quarante Éthéré"
pool.channel.name.0734: "Chaussée Sauvage"
pool.channel.name.0735: "Diorama Mortel"
pool.channel.name.0736: "Cloison d'Émeraude"
pool.channel.name.0737: "Galant Nouveau"
pool.channel.name.0738: "Mobilier Antique"
pool.channel.name.0739: "Figure Silencieuse"
pool.channel.name.0740: "Gousset des Ombres"
pool.channel.name.0741: "Pieds Ancien"
pool.channel.name.0742: "Mal Primordial"
pool.channel.name.0743: "Aliénation Hurlante"
pool.channel.name.0744: "Chute Gelée"
pool.channel.name.0745: "Équateur des Ombres"
pool.channel.name.0746: "Parure d'Émeraude"
pool.channel.name.0747: "Gitan Murmurant"
pool.channel.name.0748: "Globe Hurlant"
pool.channel.name.0749: "Encouragement d'Acier"
pool.channel.name.0750: "Lin de Fer"
pool.channel.name.0751: "Cadre Gelé"
pool.channel.name.0752: "Cinq Létal"
pool.channel.name.0753: "Bafouement d'Argent"
pool.channel.name.0754: "Émeri Primordial"
pool.channel.name.0755: "Carcasse Sombre"
pool.channel.name.0756: "Campement Holy"
pool.channel.name.0757: "Férocité de Fer"
pool.channel.name.0758: "Gargouille Létale"
pool.channel.name.0759: "Époque Hurlante"
pool.channel.name.0760: "Pénombre Gelée"
pool.channel.name.0761: "Épique Souillée"
pool.channel.name.0762: "Portail Holy"
pool.channel.name.0763: "Fouille d'Acier"
pool.channel.name.0764: "Éclat Souillé"
pool.channel.name.0765: "Figue Ancienne"
pool.channel.name.0766: "Gardien d'Acier"
pool.channel.name.0767: "Inimitié Létale"
pool.channel.name.0768: "Nourriture Cachée"
pool.channel.name.0769: "Galère Antique"
pool.channel.name.0770: "Genre Céleste"
pool.channel.name.0771: "Exubérance Bénie"
pool.channel.name.0772: "Gravure Holy"
pool.channel.name.0773: "Espalier Gelé"
pool.channel.name.0774: "Porte Éthérée"
pool.channel.name.0775: "Cône Caché"
pool.channel.name.0776: "Gratitude Interdite"
pool.channel.name.0777: "Dorure Ardente"
pool.channel.name.0778: "Trou noir Ardent"
pool.channel.name.0779: "Entrée Maudite"
pool.channel.name.0780: "Géant Nouveau"
pool.channel.name.0781: "Gingembre de Fer"
pool.channel.name.0782: "Futur Primordial"
pool.channel.name.0783: "Abysse Béni"
pool.channel.name.0784: "Doux Abyssal"
pool.channel.name.0785: "Chute de Fer"
pool.channel.name.0786: "Gène Oublié"
pool.channel.name.0787: "Regard Rouillé"
pool.channel.name.0788: "Échange Souillé"
pool.channel.name.0789: "Froncement Nouveau"
pool.channel.name.0790: "Fusible d'Argent"
pool.channel.name.0791: "Endocrine Maudite"
pool.channel.name.0792: "Enseigne Oubliée"
pool.channel.name.0793: "Anticipation des Ombres"
pool.channel.name.0794: "Européen Céleste"
pool.channel.name.0795: "Entaille Maudite"
pool.channel.name.0796: "Or Éthéré"
pool.channel.name.0797: "Rencontre Brûlante"
pool.channel.name.0798: "Galaxie du Vide"
pool.channel.name.0799: "Empire Ancien"
pool.channel.name.0800: "Gourmet Holy"
pool.channel.name.0801: "Chambre Gelée"
pool.channel.name.0802: "Emphase Silencieuse"
pool.channel.name.0803: "Morosité Murmurante"
pool.channel.name.0804: "Enclave Maudite"
pool.channel.name.0805: "Grappe Glaciale"
pool.channel.name.0806: "Armurerie d'Acier"
pool.channel.name.0807: "Génial Glacial"
pool.channel.name.0808: "Poudre à canon Abyssal"
pool.channel.name.0809: "Cratère Antique"
pool.channel.name.0810: "Crêt Doré"
pool.channel.name.0811: "Friction Interdite"
pool.channel.name.0812: "Fruit d'Émeraude"
pool.channel.name.0813: "Couvent Interdit"
pool.channel.name.0814: "Contrôle de Fer"
pool.channel.name.0815: "Gin d'Acier"
pool.channel.name.0816: "Avant Maudit"
pool.channel.name.0817: "Accomplissement Jeune"
pool.channel.name.0818: "Fouille Murmurante"
pool.channel.name.0819: "Envoi Brûlant"
pool.channel.name.0820: "Front du Vide"
pool.channel.name.0821: "Fureur Mystique"
pool.channel.name.0822: "Mouette Céleste"
pool.channel.name.0823: "Engrenage Perdu"
pool.channel.name.0824: "Colonnade Infernale"
pool.channel.name.0825: "Ceinture Souillée"
pool.channel.name.0826: "Frusques Mystique"
pool.channel.name.0827: "Ouïe Hurlante"
pool.channel.name.0828: "Griffon Béni"
pool.channel.name.0829: "Décomposition Silencieuse"
pool.channel.name.0830: "Ébats Infernal"
pool.channel.name.0831: "Arche Brûlante"
pool.channel.name.0832: "Fossé Maudit"
pool.channel.name.0833: "Demeure Sauvage"
pool.channel.name.0834: "Égalité Brûlante"
pool.channel.name.0835: "Avant Souillé"
pool.channel.name.0836: "Gaz Ancien"
pool.channel.name.0837: "Épitaphe Céleste"
pool.channel.name.0838: "Dogme Caché"
pool.channel.name.0839: "Festival Hurlant"
pool.channel.name.0840: "Coterie Hurlante"
pool.channel.name.0841: "Grand-père d'Argent"
pool.channel.name.0842: "Quinze de Fer"
pool.channel.name.0843: "Marais Céleste"
pool.channel.name.0844: "Endémique d'Acier"
pool.channel.name.0845: "Témoin oculaire Éthéré"
pool.channel.name.0846: "Bande Cachée"
pool.channel.name.0847: "Fonction Antique"
pool.channel.name.0848: "Garde d'Argent"
pool.channel.name.0849: "Recul Brûlant"
pool.channel.name.0850: "Octroi Gelé"
pool.channel.name.0851: "Crépuscule Sacré"
pool.channel.name.0852: "Flair Interdit"
pool.channel.name.0853: "Clôture Nouvelle"
pool.channel.name.0854: "Épuisement Béni"
pool.channel.name.0855: "Endurance Abyssal"
pool.channel.name.0856: "Complexe d'Argent"
pool.channel.name.0857: "Brillant Souillé"
pool.channel.name.0858: "Soir Abyssal"
pool.channel.name.0859: "Agrandissement des Ombres"
pool.channel.name.0860: "Prospérité Ancienne"
pool.channel.name.0861: "Diable Mortel"
pool.channel.name.0862: "Crevasse d'Émeraude"
pool.channel.name.0863: "Forteresse Ardente"
pool.channel.name.0864: "Fraction Holy"
pool.channel.name.0865: "Débauche Rouillée"
pool.channel.name.0866: "Grille Perdue"
pool.channel.name.0867: "Moquerie Interdite"
pool.channel.name.0868: "Guillotine Murmurante"
pool.channel.name.0869: "Grade Oublié"
pool.channel.name.0870: "Cloître Interdit"
pool.channel.name.0871: "Remblai Létal"
pool.channel.name.0872: "Élément Jeune"
pool.channel.name.0873: "Fragile Sacré"
pool.channel.name.0874: "Faute Létale"
pool.channel.name.0875: "Grenier Hurlant"
pool.channel.name.0876: "Cinquième d'Émeraude"
pool.channel.name.0877: "Groupe Sombre"
pool.channel.name.0878: "Quatorze Éthéré"
pool.channel.name.0879: "Effacement Sauvage"
pool.channel.name.0880: "Gobelet Doré"
pool.channel.name.0881: "Grand Holy"
pool.channel.name.0882: "Carburant Caché"
pool.channel.name.0883: "Disque Perdu"
pool.channel.name.0884: "Drain Mystique"
pool.channel.name.0885: "Gai Souillé"
pool.channel.name.0886: "Quatrième d'Argent"
pool.channel.name.0887: "Givre Primordial"
pool.channel.name.0888: "Passerelle d'Argent"
pool.channel.name.0889: "Élaboration Jeune"
pool.channel.name.0890: "Profondeurs Sombres"
pool.channel.name.0891: "Volubile d'Émeraude"
pool.channel.name.0892: "Gravier Jeune"
pool.channel.name.0893: "Sentier Mortel"
pool.channel.name.0894: "Finance Maudite"
pool.channel.name.0895: "Saveur Maudite"
pool.channel.name.0896: "Glande Sacrée"
pool.channel.name.0897: "Sauce Éclatante"
pool.channel.name.0898: "Environnement Primordial"
pool.channel.name.0899: "Archives Rouillés"
pool.channel.name.0900: "Estimation de Fer"
pool.channel.name.0901: "Gruau Béni"
pool.channel.name.0902: "Duvet Nouveau"
pool.channel.name.0903: "Équilatéral Souillé"
pool.channel.name.0904: "Encombrement Gelé"
pool.channel.name.0905: "Extrapolation Interdite"
pool.channel.name.0906: "Évasion Ardente"
pool.channel.name.0907: "Conseil Doré"
pool.channel.name.0908: "Décennie Mystique"
pool.channel.name.0909: "Extrême Holy"
pool.channel.name.0910: "Matinée Gelée"
pool.channel.name.0911: "Potence Hurlante"
pool.channel.name.0912: "Glamour d'Acier"
pool.channel.name.0913: "Érosion Gelée"
pool.channel.name.0914: "Grappin Sauvage"
pool.channel.name.0915: "Regard noir Sauvage"
pool.channel.name.0916: "Dorure Primordiale"
pool.channel.name.0917: "Bluff Perdu"
pool.channel.name.0918: "Fascination du Vide"
pool.channel.name.0919: "Entreprise Primordiale"
pool.channel.name.0920: "Colosse Sauvage"
pool.channel.name.0921: "Cyclone d'Argent"
pool.channel.name.0922: "Mensonge de Fer"
pool.channel.name.0923: "Grog des Ombres"
pool.channel.name.0924: "Tambour Ardent"
pool.channel.name.0925: "Terrier Éclatant"
pool.channel.name.0926: "Terre Glaciale"
pool.channel.name.0927: "Folie Cachée"
pool.channel.name.0928: "Filtre Holy"
pool.channel.name.0929: "Cargaison Mystique"
pool.channel.name.0930: "Chaos Ardent"
pool.channel.name.0931: "Cime Bénie"
pool.channel.name.0932: "Gant Infernal"
pool.channel.name.0933: "Verre d'Émeraude"
pool.channel.name.0934: "Contrefort Jeune"
pool.channel.name.0935: "Ferme Antique"
pool.channel.name.0936: "Divinité Bénie"
pool.channel.name.0937: "Usine Silencieuse"
pool.channel.name.0938: "Lueur Divine"
pool.channel.name.0939: "Évangile Hurlant"
pool.channel.name.0940: "Fini Céleste"
pool.channel.name.0941: "Élite Sacrée"
pool.channel.name.0942: "Faction Bénie"
pool.channel.name.0943: "Exemplaire Primordial"
pool.channel.name.0944: "Embarras Antique"
pool.channel.name.0945: "Famille des Ombres"
pool.channel.name.0946: "Gladiateur Sombre"
pool.channel.name.0947: "Objectif Éclatant"
pool.channel.name.0948: "Aine Glaciale"
pool.channel.name.0949: "Emblème Sacré"
pool.channel.name.0950: "Grammaire Glaciale"
pool.channel.name.0951: "Germe d'Émeraude"
pool.channel.name.0952: "Vue Oubliée"
pool.channel.name.0953: "Empathie Dorée"
pool.channel.name.0954: "Exode Mortel"
pool.channel.name.0955: "Berceau Mortel"
pool.channel.name.0956: "Agitation Murmurante"
pool.channel.name.0957: "Pieux Gelé"
pool.channel.name.0958: "Atoll du Vide"
pool.channel.name.0959: "Fourrage Éclatant"
pool.channel.name.0960: "Combat Interdit"
pool.channel.name.0961: "Chimère Perdue"
pool.channel.name.0962: "Contour Infernal"
pool.channel.name.0963: "Battement Murmurant"
pool.channel.name.0964: "Beffroi Divin"
pool.channel.name.0965: "Gestation Ardente"
pool.channel.name.0966: "Épilogue d'Acier"
pool.channel.name.0967: "Lueur Hurlante"
pool.channel.name.0968: "Premier plan Sauvage"
pool.channel.name.0969: "Farce Infernale"
pool.channel.name.0970: "Fléchier du Vide"
pool.channel.name.0971: "Élimination Bénie"
pool.channel.name.0972: "Toison Ancienne"
pool.channel.name.0973: "Envie Maudite"
pool.channel.name.0974: "Entrailles Interdit"
pool.channel.name.0975: "Enceinte Céleste"
pool.channel.name.0976: "Combat Létal"
pool.channel.name.0977: "Troupeau Gelé"
pool.channel.name.0978: "Gain Céleste"
pool.channel.name.0979: "Futile Céleste"
pool.channel.name.0980: "Dune Interdite"
pool.channel.name.0981: "Dévastation Abyssal"
pool.channel.name.0982: "Allégresse Maudite"
pool.channel.name.0983: "Gymnase Éthéré"
pool.channel.name.0984: "Exposition Souillée"
pool.channel.name.0985: "Exécuteur Ardent"
pool.channel.name.0986: "Fragment Holy"
pool.channel.name.0987: "Gratuit Infernal"
pool.channel.name.0988: "Ganse Rouillée"
pool.channel.name.0989: "Falsification Abyssal"
pool.channel.name.0990: "Canal Sauvage"
pool.channel.name.0991: "Champignons Antique"
pool.channel.name.0992: "Féroce Éclatant"
pool.channel.name.0993: "Magnifique Rouillé"
pool.channel.name.0994: "Mansarde Infernale"
pool.channel.name.0995: "Point de passage Glacial"
pool.channel.name.0996: "Preuve Nouvelle"
pool.channel.name.0997: "Courage Silencieux"
pool.channel.name.0998: "Vertige Mortel"
pool.channel.name.0999: "Dépassement Perdu"
pool.channel.name.1000: "Piège Brûlant"
