pool.channel.name.0001: "Вопящий Мятежник"
pool.channel.name.0622: "Новая Вина"
pool.channel.name.0623: "Благословенный Дар"
pool.channel.name.0624: "Безмолвный Раскопки"
pool.channel.name.0625: "Запретный Фермер"
pool.channel.name.0626: "Запретный Рост"
pool.channel.name.0627: "Древний Поток"
pool.channel.name.0628: "Сияющий Доминион"
pool.channel.name.0629: "Небесное Гашение"
pool.channel.name.0630: "Бездная Оценка"
pool.channel.name.0631: "Юный Ткань"
pool.channel.name.0632: "Проклятая Дихотомия"
pool.channel.name.0633: "Ржавый Пир"
pool.channel.name.0634: "Смертоносная Слава"
pool.channel.name.0635: "Шепчущая Краска"
pool.channel.name.0636: "Первобытный Палец"
pool.channel.name.0637: "Холодный Любитель"
pool.channel.name.0638: "Забытое Логово"
pool.channel.name.0639: "Ржавое Сияние"
pool.channel.name.0640: "Забытое Лицо"
pool.channel.name.0641: "Священный Эллипс"
pool.channel.name.0642: "Небесное Хвастовство"
pool.channel.name.0643: "Серебряное Снаряжение"
pool.channel.name.0644: "Забытое Отверстие"
pool.channel.name.0645: "Потерянный Молоток"
pool.channel.name.0646: "Дикий Грубость"
pool.channel.name.0647: "Божественный Печь"
pool.channel.name.0648: "Раскаленный Сухость"
pool.channel.name.0649: "Железный Прибор"
pool.channel.name.0650: "Пылающая Свобода"
pool.channel.name.0651: "Первобытный Принос"
pool.channel.name.0652: "Раскаленный Подвиг"
pool.channel.name.0653: "Проклятый Конверт"
pool.channel.name.0654: "Замерзший Алтарь"
pool.channel.name.0655: "Небесный Дублет"
pool.channel.name.0656: "Раскаленный Орел"
pool.channel.name.0657: "Мистическая Птица"
pool.channel.name.0658: "Шепчущая Пихта"
pool.channel.name.0659: "Бездное Расхождение"
pool.channel.name.0660: "Новый Экзон"
pool.channel.name.0661: "Священный Файл"
pool.channel.name.0662: "Благословенная Высота"
pool.channel.name.0663: "Смертельный Щедрость"
pool.channel.name.0664: "Безмолвная Рыба"
pool.channel.name.0665: "Адский Эон"
pool.channel.name.0666: "Пустотная Катакомба"
pool.channel.name.0667: "Скрытый Конклав"
pool.channel.name.0668: "Старший Похороны"
pool.channel.name.0669: "Благословенная Вязанка"
pool.channel.name.0670: "Раскаленный Простор"
pool.channel.name.0671: "Божественная Экскурсия"
pool.channel.name.0672: "Раскаленный Гриль"
pool.channel.name.0673: "Вопящая Подвязка"
pool.channel.name.0674: "Стальная Могила"
pool.channel.name.0675: "Холодная Порка"
pool.channel.name.0676: "Теневое Исследование"
pool.channel.name.0677: "Скрытая Застежка"
pool.channel.name.0678: "Дикий Испуг"
pool.channel.name.0679: "Шепчущий Подарок"
pool.channel.name.0680: "Смертельный Эксклюзивность"
pool.channel.name.0681: "Проклятая Ворота"
pool.channel.name.0682: "Юный Фетиш"
pool.channel.name.0683: "Пустотный Желудок"
pool.channel.name.0684: "Шепчущий Грязь"
pool.channel.name.0685: "Благословенная Экстра"
pool.channel.name.0686: "Замерзшая Электроника"
pool.channel.name.0687: "Смертоносный Фасад"
pool.channel.name.0688: "Сияющий Кристалл"
pool.channel.name.0689: "Небесная Катаракта"
pool.channel.name.0690: "Пылающий Флирт"
pool.channel.name.0691: "Темное Чувство"
pool.channel.name.0692: "Дикий Предок"
pool.channel.name.0693: "Золотой Собор"
pool.channel.name.0694: "Священный Напиток"
pool.channel.name.0695: "Бездное Электричество"
pool.channel.name.0696: "Замерзшое Пятнышко"
pool.channel.name.0697: "Новая Старейшина"
pool.channel.name.0698: "Темный Фетр"
pool.channel.name.0699: "Серебряный Стон"
pool.channel.name.0700: "Благословенный Изъян"
pool.channel.name.0701: "Золотая Ресница"
pool.channel.name.0702: "Адский Потоп"
pool.channel.name.0703: "Безмолвный Перелом"
pool.channel.name.0704: "Смертельное Боро"
pool.channel.name.0705: "Старший Народ"
pool.channel.name.0706: "Ржавое Горе"
pool.channel.name.0707: "Шепчущий Угол"
pool.channel.name.0708: "Проклятый Конец"
pool.channel.name.0709: "Теневой Фундамент"
pool.channel.name.0710: "Шепчущий Эффект"
pool.channel.name.0711: "Замерзшая Этика"
pool.channel.name.0712: "Безмолвный Любимец"
pool.channel.name.0713: "Святая Вышивка"
pool.channel.name.0714: "Серебряное Слияние"
pool.channel.name.0715: "Юный Байу"
pool.channel.name.0716: "Вопящая Фантазия"
pool.channel.name.0717: "Смертельный Куб"
pool.channel.name.0718: "Адская Точка"
pool.channel.name.0719: "Темный Рассвет"
pool.channel.name.0720: "Эфирная Пустота"
pool.channel.name.0721: "Пылающий Капитолий"
pool.channel.name.0722: "Адский Радость"
pool.channel.name.0723: "Замерзший Фрегат"
pool.channel.name.0724: "Серебряная Экзегеза"
pool.channel.name.0725: "Замерзший Враг"
pool.channel.name.0726: "Сияющая Евразия"
pool.channel.name.0727: "Серебряный Дрейф"
pool.channel.name.0728: "Новый Блеск"
pool.channel.name.0729: "Серебряная Нога"
pool.channel.name.0730: "Небесная Сила"
pool.channel.name.0731: "Смертельный Жадность"
pool.channel.name.0732: "Святой Гном"
pool.channel.name.0733: "Эфирный Сорок"
pool.channel.name.0734: "Дикая Дамба"
pool.channel.name.0735: "Смертоносная Диорама"
pool.channel.name.0736: "Изумрудная Переборка"
pool.channel.name.0737: "Новый Галантность"
pool.channel.name.0738: "Древний Мебель"
pool.channel.name.0739: "Безмолвная Фигура"
pool.channel.name.0740: "Теневая Ластовица"
pool.channel.name.0741: "Старшые Ноги"
pool.channel.name.0742: "Первобытное Зло"
pool.channel.name.0743: "Вопящое Отчуждение"
pool.channel.name.0744: "Замерзшое Падение"
pool.channel.name.0745: "Теневой Экватор"
pool.channel.name.0746: "Изумрудный Наряд"
pool.channel.name.0747: "Шепчущий Цыган"
pool.channel.name.0748: "Вопящий Глобус"
pool.channel.name.0749: "Стальное Поощрение"
pool.channel.name.0750: "Железный Лен"
pool.channel.name.0751: "Замерзшая Рама"
pool.channel.name.0752: "Смертельная Пятерка"
pool.channel.name.0753: "Серебряная Насмешка"
pool.channel.name.0754: "Первобытный Наждак"
pool.channel.name.0755: "Темная Туша"
pool.channel.name.0756: "Святой Лагерь"
pool.channel.name.0757: "Железный Свирепость"
pool.channel.name.0758: "Смертельная Гаргулья"
pool.channel.name.0759: "Вопящая Эпоха"
pool.channel.name.0760: "Замерзший Мрак"
pool.channel.name.0761: "Оскверненный Эпос"
pool.channel.name.0762: "Святая Врата"
pool.channel.name.0763: "Стальной Обыск"
pool.channel.name.0764: "Оскверненная Вспышка"
pool.channel.name.0765: "Старший Инжир"
pool.channel.name.0766: "Стальной Страж"
pool.channel.name.0767: "Смертельная Вражда"
pool.channel.name.0768: "Скрытая Пища"
pool.channel.name.0769: "Древная Галера"
pool.channel.name.0770: "Небесный Пол"
pool.channel.name.0771: "Благословенное Изобилие"
pool.channel.name.0772: "Святой Офорт"
pool.channel.name.0773: "Замерзшая Шпалера"
pool.channel.name.0774: "Эфирный Дверь"
pool.channel.name.0775: "Скрытый Конус"
pool.channel.name.0776: "Запретный Благодарность"
pool.channel.name.0777: "Раскаленная Позолота"
pool.channel.name.0778: "Раскаленная Черная дыра"
pool.channel.name.0779: "Проклятый Вход"
pool.channel.name.0780: "Новый Великан"
pool.channel.name.0781: "Железный Имбирь"
pool.channel.name.0782: "Первобытное Будущее"
pool.channel.name.0783: "Благословенная Бездна"
pool.channel.name.0784: "Бездный Нежность"
pool.channel.name.0785: "Железная Капля"
pool.channel.name.0786: "Забытый Ген"
pool.channel.name.0787: "Ржавый Взор"
pool.channel.name.0788: "Оскверненный Обмен"
pool.channel.name.0789: "Новый Хмурость"
pool.channel.name.0790: "Серебряный Предохранитель"
pool.channel.name.0791: "Проклятый Эндокрин"
pool.channel.name.0792: "Забытая Знамя"
pool.channel.name.0793: "Теневое Предупреждение"
pool.channel.name.0794: "Небесный Европеец"
pool.channel.name.0795: "Проклятый Разрез"
pool.channel.name.0796: "Эфирное Золото"
pool.channel.name.0797: "Пылающая Встреча"
pool.channel.name.0798: "Пустотная Галактика"
pool.channel.name.0799: "Старшая Империя"
pool.channel.name.0800: "Святой Гурман"
pool.channel.name.0801: "Замерзшая Палата"
pool.channel.name.0802: "Безмолвный Акцент"
pool.channel.name.0803: "Шепчущий Хмурость"
pool.channel.name.0804: "Проклятый Анклав"
pool.channel.name.0805: "Холодный Кластер"
pool.channel.name.0806: "Стальной Арсенал"
pool.channel.name.0807: "Холодное Радушие"
pool.channel.name.0808: "Бездный Порох"
pool.channel.name.0809: "Древний Кратер"
pool.channel.name.0810: "Золотая Скала"
pool.channel.name.0811: "Запретное Трение"
pool.channel.name.0812: "Изумрудный Плод"
pool.channel.name.0813: "Запретный Монастырь"
pool.channel.name.0814: "Железный Контроль"
pool.channel.name.0815: "Стальной Джин"
pool.channel.name.0816: "Проклятый Вперед"
pool.channel.name.0817: "Юное Исполнение"
pool.channel.name.0818: "Шепчущий Раскопки"
pool.channel.name.0819: "Пылающая Отправка"
pool.channel.name.0820: "Пустотный Лоб"
pool.channel.name.0821: "Мистический Ярость"
pool.channel.name.0822: "Небесная Чайка"
pool.channel.name.0823: "Потерянное Снаряжение"
pool.channel.name.0824: "Адская Колоннада"
pool.channel.name.0825: "Оскверненный Пояс"
pool.channel.name.0826: "Мистическая Одежда"
pool.channel.name.0827: "Вопящая Жабра"
pool.channel.name.0828: "Благословенный Грифон"
pool.channel.name.0829: "Безмолвный Распад"
pool.channel.name.0830: "Адский Шалость"
pool.channel.name.0831: "Пылающая Арка"
pool.channel.name.0832: "Проклятая Канава"
pool.channel.name.0833: "Дикий Обитель"
pool.channel.name.0834: "Пылающое Равенство"
pool.channel.name.0835: "Оскверненный Вперед"
pool.channel.name.0836: "Старший Газ"
pool.channel.name.0837: "Небесная Эпитафия"
pool.channel.name.0838: "Скрытая Догма"
pool.channel.name.0839: "Вопящий Фестиваль"
pool.channel.name.0840: "Вопящий Кружок"
pool.channel.name.0841: "Серебряный Дед"
pool.channel.name.0842: "Железный Пятнадцать"
pool.channel.name.0843: "Небесный Топь"
pool.channel.name.0844: "Стальной Эндемик"
pool.channel.name.0845: "Эфирный Очевидец"
pool.channel.name.0846: "Скрытая Банда"
pool.channel.name.0847: "Древная Функция"
pool.channel.name.0848: "Серебряная Стража"
pool.channel.name.0849: "Пылающое Вздрогивание"
pool.channel.name.0850: "Замерзший Дар"
pool.channel.name.0851: "Священный Сумерки"
pool.channel.name.0852: "Запретное Чутье"
pool.channel.name.0853: "Новый Забор"
pool.channel.name.0854: "Благословенное Истощение"
pool.channel.name.0855: "Бездный Выносливость"
pool.channel.name.0856: "Серебряный Комплекс"
pool.channel.name.0857: "Оскверненный Блеск"
pool.channel.name.0858: "Бездный Вечер"
pool.channel.name.0859: "Теневое Расширение"
pool.channel.name.0860: "Старшое Процветание"
pool.channel.name.0861: "Смертоносный Дьявол"
pool.channel.name.0862: "Изумрудная Трещина"
pool.channel.name.0863: "Раскаленный Крепость"
pool.channel.name.0864: "Святой Дробь"
pool.channel.name.0865: "Ржавый Разврат"
pool.channel.name.0866: "Потерянная Решетка"
pool.channel.name.0867: "Запретная Насмешка"
pool.channel.name.0868: "Шепчущая Гильотина"
pool.channel.name.0869: "Забытый Сорт"
pool.channel.name.0870: "Запретный Монастырь"
pool.channel.name.0871: "Смертельная Набережная"
pool.channel.name.0872: "Юный Элемент"
pool.channel.name.0873: "Священный Хрупкость"
pool.channel.name.0874: "Смертельный Фол"
pool.channel.name.0875: "Вопящий Амбар"
pool.channel.name.0876: "Изумрудный Пятый"
pool.channel.name.0877: "Темная Группа"
pool.channel.name.0878: "Эфирный Четырнадцать"
pool.channel.name.0879: "Дикое Стирание"
pool.channel.name.0880: "Золотой Кубок"
pool.channel.name.0881: "Святой Гранд"
pool.channel.name.0882: "Скрытое Топливо"
pool.channel.name.0883: "Потерянный Диск"
pool.channel.name.0884: "Мистический Слив"
pool.channel.name.0885: "Оскверненный Гей"
pool.channel.name.0886: "Серебряный Четвертый"
pool.channel.name.0887: "Первобытный Мороз"
pool.channel.name.0888: "Серебряный Трап"
pool.channel.name.0889: "Юная Разработка"
pool.channel.name.0890: "Темные Глубины"
pool.channel.name.0891: "Изумрудный Бойкость"
pool.channel.name.0892: "Юный Гравий"
pool.channel.name.0893: "Смертоносная Тропа"
pool.channel.name.0894: "Проклятый Финансы"
pool.channel.name.0895: "Проклятый Вкус"
pool.channel.name.0896: "Священная Железа"
pool.channel.name.0897: "Сияющая Подливка"
pool.channel.name.0898: "Первобытная Среда"
pool.channel.name.0899: "Ржавые Архивы"
pool.channel.name.0900: "Железная Оценка"
pool.channel.name.0901: "Благословенная Каша"
pool.channel.name.0902: "Новый Пух"
pool.channel.name.0903: "Оскверненный Равносторонний"
pool.channel.name.0904: "Замерзшое Отягощение"
pool.channel.name.0905: "Запретная Экстраполяция"
pool.channel.name.0906: "Раскаленный Эскапизм"
pool.channel.name.0907: "Золотой Совет"
pool.channel.name.0908: "Мистическое Десятилетие"
pool.channel.name.0909: "Святой Экстрим"
pool.channel.name.0910: "Замерзшое Утро"
pool.channel.name.0911: "Вопящая Виселица"
pool.channel.name.0912: "Стальной Гламур"
pool.channel.name.0913: "Замерзшая Эрозия"
pool.channel.name.0914: "Дикая Схватка"
pool.channel.name.0915: "Дикий Взор"
pool.channel.name.0916: "Первобытная Гильдия"
pool.channel.name.0917: "Потерянный Утес"
pool.channel.name.0918: "Пустотное Очарование"
pool.channel.name.0919: "Первобытное Предприятие"
pool.channel.name.0920: "Дикий Колосс"
pool.channel.name.0921: "Серебряный Циклон"
pool.channel.name.0922: "Железный Ложь"
pool.channel.name.0923: "Теневой Грог"
pool.channel.name.0924: "Раскаленный Барабан"
pool.channel.name.0925: "Сияющая Нора"
pool.channel.name.0926: "Холодная Земля"
pool.channel.name.0927: "Скрытое Безрассудство"
pool.channel.name.0928: "Святой Фильтр"
pool.channel.name.0929: "Мистический Груз"
pool.channel.name.0930: "Раскаленный Бедлам"
pool.channel.name.0931: "Благословенный Пик"
pool.channel.name.0932: "Адская Перчатка"
pool.channel.name.0933: "Изумрудное Стекло"
pool.channel.name.0934: "Юный Контрфорс"
pool.channel.name.0935: "Древная Ферма"
pool.channel.name.0936: "Благословенный Божественность"
pool.channel.name.0937: "Безмолвная Фабрика"
pool.channel.name.0938: "Божественный Отблеск"
pool.channel.name.0939: "Вопящое Евангелие"
pool.channel.name.0940: "Небесный Конечность"
pool.channel.name.0941: "Священная Элита"
pool.channel.name.0942: "Благословенная Фракция"
pool.channel.name.0943: "Первобытный Образец"
pool.channel.name.0944: "Древное Смущение"
pool.channel.name.0945: "Теневая Семья"
pool.channel.name.0946: "Темный Гладиатор"
pool.channel.name.0947: "Сияющий Цель"
pool.channel.name.0948: "Холодный Пах"
pool.channel.name.0949: "Священная Эмблема"
pool.channel.name.0950: "Холодная Грамматика"
pool.channel.name.0951: "Изумрудный Зародыш"
pool.channel.name.0952: "Забытое Зрение"
pool.channel.name.0953: "Золотая Эмпатия"
pool.channel.name.0954: "Смертоносный Исход"
pool.channel.name.0955: "Смертоносная Люлька"
pool.channel.name.0956: "Шепчущая Суета"
pool.channel.name.0957: "Замерзший Божественность"
pool.channel.name.0958: "Пустотный Атолл"
pool.channel.name.0959: "Сияющий Фураж"
pool.channel.name.0960: "Запретная Битва"
pool.channel.name.0961: "Потерянный Вымысел"
pool.channel.name.0962: "Адский Контур"
pool.channel.name.0963: "Шепчущий Клапан"
pool.channel.name.0964: "Божественная Колокольня"
pool.channel.name.0965: "Раскаленное Созревание"
pool.channel.name.0966: "Стальной Эпилог"
pool.channel.name.0967: "Вопящий Блеск"
pool.channel.name.0968: "Дикий Передний план"
pool.channel.name.0969: "Адский Фарс"
pool.channel.name.0970: "Пустотный Флетчер"
pool.channel.name.0971: "Благословенное Устранение"
pool.channel.name.0972: "Старшое Руно"
pool.channel.name.0973: "Проклятый Зависть"
pool.channel.name.0974: "Запретная Кишка"
pool.channel.name.0975: "Небесная Ограда"
pool.channel.name.0976: "Смертельный Бой"
pool.channel.name.0977: "Замерзшая Стая"
pool.channel.name.0978: "Небесный Прибыль"
pool.channel.name.0979: "Небесный Тщетность"
pool.channel.name.0980: "Запретная Дюна"
pool.channel.name.0981: "Бездное Опустошение"
pool.channel.name.0982: "Проклятое Ликование"
pool.channel.name.0983: "Эфирная Гимназия"
pool.channel.name.0984: "Оскверненный Экспонат"
pool.channel.name.0985: "Раскаленный Палач"
pool.channel.name.0986: "Святой Фрагмент"
pool.channel.name.0987: "Адское Бесплатно"
pool.channel.name.0988: "Ржавый Гимп"
pool.channel.name.0989: "Бездная Подделка"
pool.channel.name.0990: "Дикий Канал"
pool.channel.name.0991: "Древные Грибы"
pool.channel.name.0992: "Сияющий Свирепость"
pool.channel.name.0993: "Ржавое Великолепие"
pool.channel.name.0994: "Адский Чердак"
pool.channel.name.0995: "Холодный КПП"
pool.channel.name.0996: "Новая Улика"
pool.channel.name.0997: "Безмолвный Твердость"
pool.channel.name.0998: "Смертоносное Головокружение"
pool.channel.name.0999: "Потерянное Превышение"
pool.channel.name.1000: "Пылающая Ловушка"
